# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,24.52846536182373,27.09555249375172,0.0019472994425813362,513.531703513663,0.0,0.0
 0.0747506078013921,0.013969133416693853,0.18687651950348022,2.4999999999999996,24.52846536182373,27.089877546504063,0.0019472994425813362,513.531703513663,0.0,0.0
 0.10535624489018591,0.02774984584340206,0.45026713172894495,8.605950971100832,24.530013414431643,27.08420259925641,0.0020819706375299393,480.3141706102086,0.05058063661357489,1.6526575305989917
 0.12859800728888007,0.04134361869667712,0.5848856304476646,5.792095126412755,24.53164613865121,27.078527652008756,0.002224018809254381,449.63648501482663,0.07024958742629,0.8462762193034122
 0.14798909878011673,0.05475193339437786,0.6914677651724921,5.496448447628372,24.533366534763175,27.0728527047611,0.0023738552234038915,421.25568153482055,0.08872095274981565,0.9525696545691277
 0.1648954473061692,0.06797627135575404,0.7822113652157144,5.3674275023602895,24.535177713158333,27.06717775751345,0.002531907912280043,394.95907222766107,0.107130075567123,1.0888881646405864
 0.18002012554326974,0.08101811400153647,0.8622889321235968,5.294497221861797,24.53708289852872,27.061502810265793,0.0026986297937463366,370.558422766008,0.1259653488504008,1.2453338172229844
 0.19378229305490688,0.09387894275404451,0.9345060464954426,5.2475101985773485,24.53908543441178,27.05582786301814,0.0028745013008265085,347.8864315394357,0.1455102098828133,1.4201877005119692
 0.2064560379715558,0.1065602390372812,1.000595827566156,5.2147002725212115,24.541188787739877,27.050152915770486,0.0030600351775301893,326.7936288259007,0.16596146931530184,1.6136713786643009
 0.21823243047451987,0.11906348427704035,1.0617211711151886,5.190498154137405,24.543396553789293,27.04447796852283,0.003255767579531824,307.1472319728053,0.1874738846265851,1.8267406853048322
 0.22925109369512067,0.13139015990102246,1.1187088104241008,5.171919512193319,24.545712461076988,27.03880302127518,0.003462263534561795,288.8283892943366,0.21018042219166258,2.06073432960767
 0.23961781848515307,0.14354174733895939,1.1721722804506858,5.157218997266152,24.548140376666677,27.033128074027523,0.0036801370511985723,271.72901065581596,0.2342027630581996,2.3172546154243894
 0.2494150981979488,0.15551972802273106,1.2225822917077527,5.145306935682252,24.550684311549716,27.027453126779868,0.003910014513143339,255.7535263970363,0.25965726789591975,2.5981196397276793
 0.2587087809769898,0.1673255833865002,1.2703096979373512,5.135467539007546,24.553348426321147,27.021778179532216,0.004152578841076558,240.8142116672611,0.2866586728613961,2.9053503984846163
 0.2675524583081725,0.17896079486686592,1.3156530982129038,5.1272110658845955,24.556137037005925,27.01610323228456,0.004408544216942853,226.832249103188,0.3153225270828984,3.241169159398645
 0.2759904664317157,0.19042684390299,1.3588573118497236,5.120191045594515,24.559054621170397,27.01042828503691,0.004678665687038411,213.736151905523,0.3457669300329748,3.608008253172008
 0.28406000206770504,0.20172521193676152,1.4001261712485547,5.114155418655818,24.562105824247595,27.004753337789253,0.004963746176519641,201.460744453528,0.37811383638855434,4.008521408755607
 0.29179265269226046,0.21285738041296534,1.43963163689991,5.108916407771458,24.565295466124837,26.999078390541598,0.005264637336319802,189.9466071672548,0.41249010618900794,4.445599765142633
 0.29921552819293673,0.22382483077944532,1.4775204522129957,5.1043312405864425,24.568628547900026,26.993403443293946,0.005582238718417514,179.13959800764056,0.44902838191012834,4.922388327514253
 0.30635211406960555,0.23462904448729158,1.5139191056563583,5.100289420233622,24.572110259069714,26.98772849604629,0.00591750305005328,168.99019595621436,0.4878679006815941,5.442310853210819
 0.31322292571969856,0.2452715029910196,1.5489375994732668,5.096704086835857,24.57574598481262,26.982053548798635,0.006271441431197055,159.45297599775657,0.5291552043721911,6.00908681437048
 0.31984601779530303,0.2557536877487834,1.5826723587875087,5.093506013377145,24.57954131360217,26.976378601550984,0.006645122935045366,150.48630548671304,0.5730448476676429,6.6267602495087
 0.3262373860994936,0.26607708022257526,1.6152085097369897,5.090639343714296,24.583502045179042,26.97070365430333,0.00703968194177339,142.05187226798014,0.6197000999418607,7.2997283294764586
 0.33241128854384894,0.27624316187845516,1.6466216866083656,5.08805850991317,24.58763419868895,26.965028707055676,0.007456319906757776,134.11441736743146,0.6692936189305687,8.032766865963417
 0.3383805042769326,0.2862534141867782,1.6769794820519526,5.085725964858742,24.591944021209947,26.95935375980802,0.007896311001473545,126.64141518911657,0.7220081688638601,8.83106798119679
 0.3441565449747818,0.29610931862244777,1.706342623129296,5.08361048914998,24.596437996545113,26.953678812560366,0.00836100426037235,119.60285736721605,0.7780373391131299,9.700272761258935
 0.34974982868625076,0.3058123566651546,1.7347659341525805,5.081685909299215,24.60112285433969,26.948003865312714,0.008851829543911147,112.97099600024085,0.8375862974679049,10.646511320831248
 0.3551698240558581,0.3153640097996732,1.7622991318552674,5.079930115268996,24.606005579466913,26.94232891806506,0.009370307077407531,106.72008843883786,0.9008725643204544,11.67644297399724
 0.360425170883572,0.32476575951613035,1.7889874873485658,5.078324298704373,24.61109342180958,26.936653970817403,0.009918041407226607,100.82635864691666,0.9681268448047501,12.797305808559141
 0.3655237816122546,0.33401908731030805,1.8148723812395624,5.076852356148596,24.616393906358095,26.93097902356975,0.010496733267750599,95.26773468392565,1.0395938875458015,14.01696394255179
 0.3704729273153227,0.3431254746839611,1.839991772318944,5.0755004169324165,24.621914843490206,26.925304076322096,0.011108196402014752,90.02361533854629,1.1155333593612022,15.343955577691577
